LoanID,CustomerID,LoanType,Amount,InterestRate,StartDate,EndDate,Status,BranchID,BranchName
201,1,HOME,200000,3.5,2020-02-01,2050-02-01,ACTIVE,1,Main Branch
202,2,CAR,15000,5.2,2021-06-15,2026-06-15,ACTIVE,2,Downtown Branch
203,3,PERSONAL,5000,7.8,2022-01-10,2025-01-10,ACTIVE,3,West Branch
204,4,BUSINESS,80000,4.1,2019-03-20,2029-03-20,ACTIVE,4,North Branch
205,5,CAR,12000,6,2022-05-01,2027-05-01,ACTIVE,5,East Branch
206,6,PERSONAL,3000,8.5,2021-11-30,2024-11-30,PAID,1,Main Branch
207,8,HOME,150000,3.75,2020-07-15,2045-07-15,ACTIVE,4,North Branch
208,10,BUSINESS,100000,3.9,2018-09-01,2028-09-01,ACTIVE,2,Downtown Branch
209,11,HOME,180000,3.6,2021-04-01,2051-04-01,ACTIVE,6,South Branch
210,12,CAR,20000,5.5,2021-09-01,2026-09-01,ACTIVE,6,South Branch
211,13,BUSINESS,120000,4.2,2020-01-15,2030-01-15,ACTIVE,7,Central Branch
212,14,PERSONAL,8000,8,2022-02-01,2025-02-01,ACTIVE,7,Central Branch
213,15,HOME,350000,3.25,2018-07-01,2048-07-01,ACTIVE,8,NorthWest Branch
214,16,CAR,15000,5.8,2022-01-15,2027-01-15,ACTIVE,8,NorthWest Branch
215,17,PERSONAL,10000,7.5,2020-05-01,2023-05-01,PAID,9,Harbor Branch
216,18,HOME,220000,3.45,2019-08-01,2049-08-01,ACTIVE,9,Harbor Branch
217,19,CAR,18000,6.2,2022-10-01,2027-10-01,ACTIVE,10,Lakeside Branch
218,20,PERSONAL,5000,8.5,2021-06-01,2024-06-01,PAID,10,Lakeside Branch
219,21,BUSINESS,500000,3.8,2018-04-01,2028-04-01,ACTIVE,11,Bay Branch
220,22,HOME,280000,3.55,2020-11-01,2050-11-01,ACTIVE,11,Bay Branch
221,23,CAR,22000,5.9,2019-03-01,2024-03-01,PAID,12,Riverside Branch
222,24,PERSONAL,7000,7.9,2021-09-01,2024-09-01,ACTIVE,12,Riverside Branch
223,25,HOME,195000,3.7,2020-07-01,2050-07-01,ACTIVE,13,Metro Branch
224,26,CAR,12000,6.1,2022-04-01,2027-04-01,ACTIVE,13,Metro Branch
225,27,BUSINESS,300000,3.95,2019-10-01,2029-10-01,ACTIVE,14,Midtown Branch
226,28,HOME,160000,3.65,2021-02-01,2051-02-01,ACTIVE,14,Midtown Branch
227,29,PERSONAL,6000,8.2,2020-08-01,2023-08-01,PAID,15,Garden Branch
228,30,CAR,14000,5.7,2022-12-01,2027-12-01,ACTIVE,15,Garden Branch
229,31,HOME,240000,3.4,2019-01-01,2049-01-01,ACTIVE,6,South Branch
230,32,PERSONAL,9000,7.6,2020-04-01,2023-04-01,PAID,7,Central Branch
231,33,CAR,16000,5.95,2021-07-01,2026-07-01,ACTIVE,8,NorthWest Branch
232,34,BUSINESS,400000,3.85,2019-11-01,2029-11-01,ACTIVE,9,Harbor Branch
233,35,PERSONAL,4000,8.8,2022-05-01,2025-05-01,ACTIVE,10,Lakeside Branch
234,36,HOME,310000,3.3,2020-10-01,2050-10-01,ACTIVE,11,Bay Branch
235,37,CAR,25000,5.4,2018-09-01,2023-09-01,PAID,12,Riverside Branch
236,38,PERSONAL,3500,9,2021-03-01,2024-03-01,ACTIVE,13,Metro Branch
237,39,HOME,175000,3.75,2020-06-01,2050-06-01,ACTIVE,14,Midtown Branch
238,40,CAR,11000,6.3,2022-09-01,2027-09-01,ACTIVE,15,Garden Branch
239,41,HOME,210000,3.55,2019-02-01,2049-02-01,ACTIVE,1,Main Branch
240,42,PERSONAL,5500,8.3,2021-08-01,2024-08-01,ACTIVE,2,Downtown Branch
241,43,CAR,19000,5.65,2020-12-01,2025-12-01,ACTIVE,3,West Branch
242,44,BUSINESS,250000,4,2018-06-01,2028-06-01,ACTIVE,4,North Branch
243,45,PERSONAL,7500,7.8,2022-07-01,2025-07-01,ACTIVE,5,East Branch
244,46,HOME,195000,3.6,2019-05-01,2049-05-01,ACTIVE,6,South Branch
245,47,CAR,13000,5.85,2021-11-01,2026-11-01,ACTIVE,7,Central Branch
246,48,PERSONAL,6500,8.1,2020-03-01,2023-03-01,PAID,8,NorthWest Branch
247,49,HOME,145000,3.8,2022-08-01,2052-08-01,ACTIVE,9,Harbor Branch
248,50,CAR,17000,5.75,2021-04-01,2026-04-01,ACTIVE,10,Lakeside Branch
249,51,HOME,225000,3.55,2021-06-01,2051-06-01,ACTIVE,30,Strip Branch
250,52,CAR,16000,5.65,2021-10-01,2026-10-01,ACTIVE,31,Broadway Branch
251,53,BUSINESS,350000,3.9,2019-05-01,2029-05-01,ACTIVE,32,Sixth Street Branch
252,54,PERSONAL,4500,8.2,2022-03-01,2025-03-01,ACTIVE,33,Gaslamp Branch
253,55,CAR,18500,5.75,2021-09-01,2026-09-01,ACTIVE,34,Midtown Branch
254,56,HOME,280000,3.4,2020-12-01,2050-12-01,ACTIVE,35,Uptown Branch
255,57,BUSINESS,180000,4.05,2018-08-01,2028-08-01,ACTIVE,36,Gateway Branch
256,58,PERSONAL,6000,8.5,2022-05-01,2025-05-01,ACTIVE,37,Inner Harbor Branch
257,59,HOME,195000,3.65,2019-11-01,2049-11-01,ACTIVE,38,Research Branch
258,60,CAR,14500,5.9,2021-12-01,2026-12-01,ACTIVE,39,Uptown Branch
259,7,CAR,12000,6.1,2023-01-01,2028-01-01,ACTIVE,3,West Branch
260,9,PERSONAL,3500,8.7,2023-02-01,2026-02-01,ACTIVE,5,East Branch
