AccountID,CustomerID,AccountType,Balance,OpenDate,Status,BranchID,BranchName,City
101,1,SAVINGS,15000,2020-01-15,ACTIVE,1,Main Branch,New York
102,1,CHECKING,3200,2020-03-01,ACTIVE,1,Main Branch,New York
103,2,SAVINGS,8500,2019-03-22,ACTIVE,2,Downtown Branch,New York
104,3,CHECKING,1200,2021-07-10,ACTIVE,3,West Branch,Los Angeles
105,4,SAVINGS,50000,2018-11-05,ACTIVE,4,North Branch,Chicago
106,5,CHECKING,750,2022-02-28,ACTIVE,5,East Branch,Houston
107,6,SAVINGS,22000,2020-06-14,ACTIVE,1,Main Branch,New York
108,7,CHECKING,4300,2021-09-30,ACTIVE,3,West Branch,Los Angeles
109,8,SAVINGS,9800,2019-12-01,ACTIVE,4,North Branch,Chicago
110,9,CHECKING,300,2023-01-20,ACTIVE,5,East Branch,Houston
111,10,SAVINGS,67000,2017-08-18,ACTIVE,2,Downtown Branch,New York
112,10,CHECKING,5500,2018-01-10,ACTIVE,2,Downtown Branch,New York
113,2,CHECKING,0,2015-05-01,CLOSED,2,Downtown Branch,New York
114,11,SAVINGS,25000,2021-03-15,ACTIVE,6,South Branch,Miami
115,11,CHECKING,3500,2021-04-01,ACTIVE,6,South Branch,Miami
116,12,SAVINGS,18000,2020-08-20,ACTIVE,6,South Branch,Miami
117,13,CHECKING,7200,2019-11-10,ACTIVE,7,Central Branch,Dallas
118,13,SAVINGS,45000,2020-01-15,ACTIVE,7,Central Branch,Dallas
119,14,CHECKING,1800,2022-01-05,ACTIVE,7,Central Branch,Dallas
120,15,SAVINGS,92000,2018-06-25,ACTIVE,8,NorthWest Branch,Seattle
121,15,CHECKING,8500,2018-07-10,ACTIVE,8,NorthWest Branch,Seattle
122,16,SAVINGS,5600,2021-12-30,ACTIVE,8,NorthWest Branch,Seattle
123,17,CHECKING,4200,2020-04-18,ACTIVE,9,Harbor Branch,Boston
124,17,SAVINGS,31000,2020-05-01,ACTIVE,9,Harbor Branch,Boston
125,18,SAVINGS,14500,2019-07-22,ACTIVE,9,Harbor Branch,Boston
126,19,CHECKING,2300,2022-09-14,ACTIVE,10,Lakeside Branch,Denver
127,20,SAVINGS,11000,2021-05-03,ACTIVE,10,Lakeside Branch,Denver
128,20,CHECKING,3100,2021-06-01,ACTIVE,10,Lakeside Branch,Denver
129,21,SAVINGS,120000,2018-03-28,ACTIVE,11,Bay Branch,San Francisco
130,21,CHECKING,15000,2018-04-10,ACTIVE,11,Bay Branch,San Francisco
131,22,SAVINGS,8900,2020-10-15,ACTIVE,11,Bay Branch,San Francisco
132,23,CHECKING,4700,2019-02-11,ACTIVE,12,Riverside Branch,Phoenix
133,23,SAVINGS,27000,2019-03-01,ACTIVE,12,Riverside Branch,Phoenix
134,24,SAVINGS,6300,2021-08-07,ACTIVE,12,Riverside Branch,Phoenix
135,25,CHECKING,5100,2020-06-19,ACTIVE,13,Metro Branch,Philadelphia
136,25,SAVINGS,38000,2020-07-01,ACTIVE,13,Metro Branch,Philadelphia
137,26,CHECKING,900,2022-03-25,ACTIVE,13,Metro Branch,Philadelphia
138,27,SAVINGS,55000,2019-09-08,ACTIVE,14,Midtown Branch,Atlanta
139,27,CHECKING,9200,2019-10-01,ACTIVE,14,Midtown Branch,Atlanta
140,28,SAVINGS,16000,2021-01-14,ACTIVE,14,Midtown Branch,Atlanta
141,29,CHECKING,3800,2020-07-30,ACTIVE,15,Garden Branch,Portland
142,29,SAVINGS,22500,2020-08-15,ACTIVE,15,Garden Branch,Portland
143,30,SAVINGS,4100,2022-11-20,ACTIVE,15,Garden Branch,Portland
144,31,CHECKING,6700,2018-12-05,ACTIVE,6,South Branch,Miami
145,31,SAVINGS,43000,2019-01-10,ACTIVE,6,South Branch,Miami
146,32,SAVINGS,19500,2020-03-17,ACTIVE,7,Central Branch,Dallas
147,33,CHECKING,2900,2021-06-22,ACTIVE,8,NorthWest Branch,Seattle
148,34,SAVINGS,71000,2019-10-09,ACTIVE,9,Harbor Branch,Boston
149,35,CHECKING,1500,2022-04-13,ACTIVE,10,Lakeside Branch,Denver
150,36,SAVINGS,33000,2020-09-27,ACTIVE,11,Bay Branch,San Francisco
151,36,CHECKING,7800,2020-10-10,ACTIVE,11,Bay Branch,San Francisco
152,37,SAVINGS,48000,2018-08-16,ACTIVE,12,Riverside Branch,Phoenix
153,38,CHECKING,3200,2021-02-08,ACTIVE,13,Metro Branch,Philadelphia
154,39,SAVINGS,26000,2020-05-21,ACTIVE,14,Midtown Branch,Atlanta
155,40,CHECKING,4400,2022-08-04,ACTIVE,15,Garden Branch,Portland
156,41,SAVINGS,13500,2019-01-30,ACTIVE,1,Main Branch,New York
157,42,CHECKING,2600,2021-07-16,ACTIVE,2,Downtown Branch,New York
158,43,SAVINGS,17000,2020-11-03,ACTIVE,3,West Branch,Los Angeles
159,44,CHECKING,5900,2018-05-27,ACTIVE,4,North Branch,Chicago
160,44,SAVINGS,61000,2018-06-10,ACTIVE,4,North Branch,Chicago
161,45,CHECKING,1100,2022-06-10,ACTIVE,5,East Branch,Houston
162,46,SAVINGS,29000,2019-04-14,ACTIVE,6,South Branch,Miami
